train,val,test
16B0003394,18B0004358D,18B0004358D
18B0006623C,18B0002933H,18B0002933H
17B0034675,18B0002933I,18B0002933I
18B0005124A,18B0006622E,18B0006622E
18B0006623I,16B0027040,16B0027040
18B0005477G,16B0027038,16B0027038
17B0034449,18B0005478A,18B0005478A
17B0021010,18B0002930B,18B0002930B
18B0004349G,18B0005478E,18B0005478E
17B0031124,16B0006694,16B0006694
16B0026794,18B0001966H,18B0001966H
17B0034179,16B0022615,16B0022615
17B0027608,18B0001971B,18B0001971B
16B0022608,17B0015969,17B0015969
16B0022612,16B0008045,16B0008045
17B0017506,16B0022786,16B0022786
16B0006669,17B0027646,17B0027646
17B0016589,18B0003808K,18B0003808K
18B0006170D,16B0024175,16B0024175
16B0006668,17B0017511,17B0017511
18B0001510J,17B0031109,17B0031109
17B0031079,18B0006623D,18B0006623D
18B0006623A,18B0006169B,18B0006169B
18B0003896D,18B0005478D,18B0005478D
18B0006179I,18B0006173F,18B0006173F
17B0016566,16B0022781,16B0022781
18B0005478B,16B0027039,16B0027039
17B0011996,,
18B001071J,,
16B0028168,,
17B0019359,,
16B0022613,,
17B0015685,,
16B0024177,,
16B0028817,,
16B0028816,,
17B0031893,,
18B0005718B,,
18B0004346A,,
18B0006621D,,
16B0023614,,
18B0006623F,,
18B0005230E,,
17B0031932,,
18B0005478H,,
17B0031879,,
18B0001071H,,
16B0028161,,
16B0028814,,
17B0024162,,
18B0002452G,,
18B0005125B,,
18B0003894J,,
17B00208864,,
16B0006695,,
16B0028914,,
18B0002932D,,
16B0028815,,
17B0028627,,
18B0003901F,,
18B0005773,,
18B0006623J,,
18B0006623H,,
17B0032153,,
16B0001851,,
16B0026795,,
17B0018428,,
18B0006177A,,
16B0022616,,
16B0028813,,
17B0029534,,
18B0005478I,,
17B0031053,,
17B0034247,,
18B0005478F,,
16B0028822,,
16B0008067,,
17B0031877,,
17B00116581,,
18B0002975B,,
17B0023980,,
16B0003388,,
17B0029587,,
16B0028138,,
18B0005478J,,
17B0034674,,
16B0022610,,
17B0034184,,
17B0031103,,
17B0031108,,
18B0003894H,,
18B0001159D,,
17B0016583,,
16B0024181,,
17B0016579,,
17B0023909,,
17B0017717,,
17B0022792,,
17B0023487,,
17B0017454,,
17B0031061,,
18B0005126C,,
16B0024174,,
18B0001510G,,
16B0023613,,
17B0031904,,
16B0026796,,
18B0006623B,,
17B0031890,,
16B0026792,,
16B0024173,,
18B0003032A,,
17B0015777,,
18B000646H,,
16B0028148,,
18B0004349A,,
18B0006174B,,
18B000646G,,
17B00208861,,
18B0005478C,,
17B0031911,,
18B0005478G,,
17B0015554,,
17B0024636,,
18B0001506G,,
18B0006623G,,
