,train,val,test
0,1943,1660,1660
1,1952,4877,4877
2,3191,7955,7955
3,4827,12222,12222
4,5970,15231,15231
5,6359,17067,17067
6,6449,21929,21929
7,7482,24563,24563
8,8279,26950,26950
9,9658,30203,30203
10,10548,35197,35197
11,11263,39880,39880
12,12442,42549,42549
13,13526,45725,45725
14,13987,48506,48506
15,14051,52461,52461
16,15470,56861,56861
17,15486,59515,59515
18,16325,63015,63015
19,16876,286,286
20,17291,4608,4608
21,18014,7204,7204
22,18813,10246,10246
23,20205,12902,12902
24,22155,15671,15671
25,22290,17738,17738
26,22425,19569,19569
27,22489,22221,22221
28,25923,25604,25604
29,25928,30515,30515
30,26219,32432,32432
31,26533,35754,35754
32,27315,38647,38647
33,28603,40503,40503
34,29615,44804,44804
35,29915,46444,46444
36,30272,50048,50048
37,30369,51128,51128
38,31033,52752,52752
39,32032,53859,53859
40,36063,56875,56875
41,38349,60928,60928
42,38669,63367,63367
43,38687,4,4
44,40129,1080,1080
45,40888,1666,1666
46,42125,3055,3055
47,42296,4963,4963
48,43796,5307,5307
49,44283,6558,6558
50,44581,8713,8713
51,44976,9697,9697
52,45990,11559,11559
53,46543,14542,14542
54,46769,15871,15871
55,47960,17174,17174
56,51346,18547,18547
57,52259,19157,19157
58,52375,20463,20463
59,52420,24507,24507
60,52931,25792,25792
61,53377,27245,27245
62,54928,28028,28028
63,55287,28922,28922
64,56947,29888,29888
65,57598,30794,30794
66,58947,32192,32192
67,58974,34845,34845
68,60685,36008,36008
69,60988,37367,37367
70,61961,38097,38097
71,62828,39255,39255
72,63165,39893,39893
73,63289,43390,43390
74,64824,44432,44432
75,2666,46435,46435
76,2906,47837,47837
77,3222,49281,49281
78,3511,51832,51832
79,5265,53059,53059
80,6281,54825,54825
81,6363,56843,56843
82,6793,59383,59383
83,7329,61089,61089
84,7490,61852,61852
85,8531,64111,64111
86,10077,65371,65371
87,10469,66,66
88,10800,5852,5852
89,11431,10252,10252
90,12522,21260,21260
91,14401,26862,26862
92,14424,33976,33976
93,14617,38849,38849
94,15188,49872,49872
95,15742,61100,61100
96,15912,2227,2227
97,16064,6582,6582
98,17487,21445,21445
99,18138,30986,30986
100,18607,37190,37190
101,18810,39872,39872
102,19030,48502,48502
103,20882,56351,56351
104,21232,65094,65094
105,21373,,
106,21910,,
107,22740,,
108,22924,,
109,23629,,
110,24023,,
111,26939,,
112,27851,,
113,28066,,
114,28736,,
115,30712,,
116,30792,,
117,31383,,
118,32042,,
119,32636,,
120,33984,,
121,34690,,
122,34822,,
123,35909,,
124,35953,,
125,38118,,
126,38479,,
127,38901,,
128,39269,,
129,40079,,
130,40124,,
131,43280,,
132,43998,,
133,44232,,
134,44700,,
135,44962,,
136,45254,,
137,45578,,
138,45630,,
139,46688,,
140,47105,,
141,49942,,
142,49995,,
143,50246,,
144,50304,,
145,50962,,
146,51032,,
147,51215,,
148,51499,,
149,51679,,
150,52108,,
151,52836,,
152,52846,,
153,53098,,
154,53402,,
155,53900,,
156,54408,,
157,55279,,
158,55876,,
159,57711,,
160,59002,,
161,59760,,
162,59900,,
163,60936,,
164,61320,,
165,61823,,
166,63121,,
167,63429,,
168,63836,,
169,64771,,
170,431,,
171,706,,
172,970,,
173,1020,,
174,1101,,
175,1252,,
176,1289,,
177,1295,,
178,1774,,
179,1925,,
180,2097,,
181,2706,,
182,3098,,
183,3264,,
184,3881,,
185,4211,,
186,5015,,
187,5114,,
188,5251,,
189,5264,,
190,5851,,
191,5992,,
192,6140,,
193,6175,,
194,6843,,
195,6951,,
196,8213,,
197,8240,,
198,8805,,
199,9154,,
200,9341,,
201,9509,,
202,10143,,
203,10642,,
204,10896,,
205,11417,,
206,12159,,
207,13364,,
208,14039,,
209,14127,,
210,15139,,
211,15209,,
212,15221,,
213,15293,,
214,16042,,
215,16209,,
216,16494,,
217,16986,,
218,17365,,
219,17416,,
220,17854,,
221,18196,,
222,18568,,
223,18896,,
224,18914,,
225,18981,,
226,19255,,
227,19512,,
228,20312,,
229,20316,,
230,20670,,
231,20858,,
232,21432,,
233,22654,,
234,24617,,
235,24759,,
236,24991,,
237,25561,,
238,26124,,
239,26190,,
240,26603,,
241,26644,,
242,27249,,
243,27739,,
244,27747,,
245,27950,,
246,28121,,
247,28393,,
248,28519,,
249,28821,,
250,29147,,
251,29200,,
252,29240,,
253,29331,,
254,29904,,
255,30508,,
256,30539,,
257,30738,,
258,31333,,
259,31473,,
260,32035,,
261,32112,,
262,32596,,
263,34247,,
264,34649,,
265,34720,,
266,35239,,
267,35592,,
268,35652,,
269,35998,,
270,36204,,
271,36499,,
272,36513,,
273,36639,,
274,37655,,
275,38018,,
276,38041,,
277,38048,,
278,38535,,
279,39144,,
280,39146,,
281,39172,,
282,39297,,
283,39365,,
284,39425,,
285,39728,,
286,39990,,
287,40639,,
288,41361,,
289,41801,,
290,43432,,
291,43671,,
292,43815,,
293,43875,,
294,45104,,
295,45185,,
296,46139,,
297,46172,,
298,46469,,
299,46736,,
300,46793,,
301,47020,,
302,47911,,
303,47984,,
304,48861,,
305,48973,,
306,50589,,
307,50712,,
308,50878,,
309,51021,,
310,52275,,
311,52308,,
312,52438,,
313,52784,,
314,53688,,
315,54007,,
316,54506,,
317,54590,,
318,54949,,
319,54990,,
320,55281,,
321,56221,,
322,57100,,
323,57468,,
324,58895,,
325,59031,,
326,59589,,
327,60058,,
328,60287,,
329,61033,,
330,61280,,
331,61424,,
332,61493,,
333,61689,,
334,62641,,
335,63298,,
336,63897,,
337,63941,,
