train,val,test
66,4,4
281,1660,1660
286,1774,1774
431,1943,1943
706,2906,2906
970,3511,3511
1020,3881,3881
1080,4211,4211
1101,5015,5015
1252,5264,5264
1289,5851,5851
1295,5852,5852
1666,5992,5992
1925,6140,6140
1952,6793,6793
2097,8213,8213
2227,9697,9697
2391,11417,11417
2666,11559,11559
2706,12244,12244
3055,13364,13364
3084,13387,13387
3092,14051,14051
3098,14532,14532
3191,15470,15470
3222,15871,15871
3264,15912,15912
3672,16325,16325
3997,16876,16876
4608,17174,17174
4797,17365,17365
4827,18014,18014
4877,18138,18138
4963,18547,18547
5114,18568,18568
5251,18607,18607
5265,20882,20882
5307,21232,21232
5456,21910,21910
5970,24617,24617
6175,25561,25561
6281,25792,25792
6359,25923,25923
6363,26025,26025
6449,26533,26533
6558,26644,26644
6582,28066,28066
6843,28121,28121
6898,28393,28393
6951,29331,29331
7204,29915,29915
7329,30738,30738
7482,33976,33976
7490,34649,34649
7955,35197,35197
8130,36008,36008
8240,37307,37307
8279,37367,37367
8531,37655,37655
8713,38019,38019
8805,38041,38041
8985,38349,38349
9154,38366,38366
9183,38585,38585
9254,38647,38647
9341,39208,39208
9509,39872,39872
9658,40124,40124
10077,41099,41099
10143,46172,46172
10246,46435,46435
10252,46444,46444
10469,46688,46688
10548,46815,46815
10642,47960,47960
10800,48550,48550
10896,48861,48861
11263,50048,50048
11431,50246,50246
11557,50589,50589
12159,50962,50962
12222,52275,52275
12442,52375,52375
12522,52438,52438
12902,52931,52931
13526,53377,53377
13987,54825,54825
14039,55279,55279
14127,55876,55876
14312,56861,56861
14401,56875,56875
14424,57162,57162
14542,57468,57468
14617,59002,59002
15139,59031,59031
15188,60928,60928
15209,61320,61320
15221,61852,61852
15231,61961,61961
15293,62476,62476
15486,62828,62828
15583,63367,63367
15671,64950,64950
15742,65371,65371
16042,,
16064,,
16209,,
16494,,
16986,,
17067,,
17291,,
17416,,
17487,,
17738,,
17854,,
18196,,
18810,,
18813,,
18896,,
18914,,
18981,,
19030,,
19157,,
19255,,
19512,,
19569,,
20205,,
20312,,
20316,,
20329,,
20463,,
20670,,
20858,,
21260,,
21303,,
21373,,
21432,,
21445,,
21929,,
22155,,
22221,,
22290,,
22425,,
22489,,
22654,,
22740,,
22924,,
23523,,
23629,,
23796,,
24023,,
24507,,
24563,,
24759,,
24991,,
25256,,
25331,,
25604,,
25928,,
26124,,
26190,,
26219,,
26603,,
26862,,
26939,,
26950,,
27245,,
27249,,
27315,,
27739,,
27747,,
27851,,
27950,,
28028,,
28519,,
28562,,
28603,,
28736,,
28821,,
28922,,
29147,,
29200,,
29240,,
29615,,
29888,,
29904,,
30203,,
30272,,
30369,,
30508,,
30515,,
30539,,
30712,,
30792,,
30794,,
30868,,
30986,,
31033,,
31297,,
31300,,
31333,,
31383,,
31473,,
31793,,
32032,,
32035,,
32042,,
32112,,
32192,,
32432,,
32596,,
32636,,
33708,,
33839,,
33984,,
34247,,
34277,,
34508,,
34688,,
34690,,
34720,,
34822,,
34845,,
35239,,
35592,,
35652,,
35754,,
35792,,
35909,,
35953,,
35998,,
36063,,
36204,,
36499,,
36513,,
36639,,
36678,,
37190,,
38018,,
38048,,
38097,,
38118,,
38479,,
38535,,
38669,,
38687,,
38849,,
38901,,
38959,,
39144,,
39146,,
39172,,
39252,,
39255,,
39258,,
39269,,
39297,,
39365,,
39425,,
39466,,
39728,,
39880,,
39893,,
39990,,
40079,,
40129,,
40503,,
40639,,
40888,,
41361,,
41801,,
42125,,
42260,,
42296,,
42549,,
43280,,
43390,,
43432,,
43671,,
43796,,
43815,,
43875,,
43998,,
44232,,
44283,,
44432,,
44530,,
44581,,
44700,,
44804,,
44962,,
44976,,
45104,,
45185,,
45254,,
45578,,
45630,,
45725,,
45990,,
46139,,
46469,,
46543,,
46736,,
46769,,
46793,,
47020,,
47105,,
47431,,
47837,,
47911,,
47984,,
48502,,
48506,,
48973,,
49281,,
49587,,
49872,,
49942,,
49995,,
50304,,
50712,,
50878,,
51021,,
51032,,
51128,,
51215,,
51346,,
51499,,
51679,,
51832,,
51893,,
52108,,
52259,,
52308,,
52420,,
52461,,
52612,,
52752,,
52784,,
52836,,
52846,,
53059,,
53098,,
53402,,
53688,,
53859,,
53900,,
54007,,
54408,,
54473,,
54506,,
54590,,
54928,,
54949,,
54990,,
55281,,
55287,,
56117,,
56221,,
56351,,
56500,,
56799,,
56843,,
56947,,
56993,,
57100,,
57265,,
57598,,
57711,,
58895,,
58947,,
58974,,
59383,,
59515,,
59589,,
59760,,
59900,,
60058,,
60287,,
60685,,
60936,,
60988,,
61033,,
61089,,
61100,,
61280,,
61424,,
61493,,
61689,,
61823,,
62641,,
63015,,
63121,,
63165,,
63289,,
63298,,
63429,,
63836,,
63897,,
63941,,
64111,,
64188,,
64629,,
64771,,
64824,,
65022,,
65094,,
65300,,
65533,,
