train,val,test
B201007978B2,B201014370A,B201014370A
B201007978D1,B201014370D,B201014370D
B201007978A,B201014370B2,B201014370B2
B201018569D1,B201014370E,B201014370E
B201018569B1,B201014370B3,B201014370B3
B201018569A2,B201020473C,B201020473C
B201018569A1,B201020473A1,B201020473A1
B201018569K,B201020473B2,B201020473B2
B201018569B2,B201020473A2,B201020473A2
B201019993A1,B201020473B1,B201020473B1
B201019993A2,B201121493B3,B201121493B3
B201019993A3,B201121493B2,B201121493B2
B201019993B1,B201121493A3,B201121493A3
B201019993B2,B201121493C,B201121493C
B201021604A3,B201221437A3,B201221437A3
B201021604B1,B201221437A2,B201221437A2
B201021604B2,B201221437A4,B201221437A4
B201107055B,B201221437C,B201221437C
B201107055A3,B201221437B,B201221437B
B201107055A1,B201324568B1,B201324568B1
B201107055A2,B201324568E1,B201324568E1
B201107603C3,B201324568E3,B201324568E3
B201107603C2,B201324568D1,B201324568D1
B201107603l1,B201324568C2,B201324568C2
B201107603B2,B201425620B3,B201425620B3
B201118916A,B201425620D2,B201425620D2
B201118916A3,B201425620D1,B201425620D1
B201118916A1,B201428281C,B201428281C
B201118916C1,B201428281B2,B201428281B2
B201118916A2,B201428281A2,B201428281A2
B201200976A1,B201428281B1,B201428281B1
B201200976C,B201428281A1,B201428281A1
B201200976B1,B201511071A1,B201511071A1
B201223608A2,B201511071A2,B201511071A2
B201223608A3,B201511071B2,B201511071B2
B201223608B,B201511071C,B201511071C
B201223608A1,B201511071B1,B201511071B1
B201223608HE,B201511071D,B201511071D
B201226336C1,B201512282B1,B201512282B1
B201304490A2,B201512282B2,B201512282B2
B201304490C,B201512282C2,B201512282C2
B201304490B1,B201512282C1,B201512282C1
B201314015C,B201512282A1,B201512282A1
B201314015A2,B201519204C,B201519204C
B201314015B1,B201519204A,B201519204A
B201314015A3,B201519204B2,B201519204B2
B201314015B2,B201519204B1,B201519204B1
B201314015A1,B201522223A8,B201522223A8
B201317553B1,B201602680C1,B201602680C1
B201317553HE,B201602680C3,B201602680C3
B201317553A2,B201602680B2,B201602680B2
B201317554A2,B201602680A1,B201602680A1
B201317554B1,B201602680B1,B201602680B1
B201317554B2,B201800158B1,B201800158B1
B201317554A1,B201800158A2,B201800158A2
B201319077A4,B201800158C2,B201800158C2
B201319077A3,B201800158C1,B201800158C1
B201319077A6,B201800158B2,B201800158B2
B201319077B3,B201800628D2,B201800628D2
B201319077A1,B201800628A2,B201800628A2
B201319077A2,B201800628A1,B201800628A1
B201321212A1,B201800628B2,B201800628B2
B201321212A2,B201800628C,B201800628C
B201321212A3,B201800628B1,B201800628B1
B201322347A1,B201801681A1,B201801681A1
B201325078A1,B201801681A2,B201801681A2
B201326432A1,B201801681C,B201801681C
B201326432A3,B201801681B,B201801681B
B201326432A2,B201801681A3,B201801681A3
B201401414A1D,B201804116A2,B201804116A2
B201401414C,B201804116B,B201804116B
B201401414B,B201804116C,B201804116C
B201401414A2,B201804872C2,B201804872C2
B201401414A1,B201804872A4,B201804872A4
B201402563D1,B201804872B,B201804872B
B201402563B1,B201804872A1,B201804872A1
B201402563A2,B201805671B1,B201805671B1
B201402563D2,B201805671A2,B201805671A2
B201402563A1,B201805671C,B201805671C
B201402988A1,B201805671D2,B201805671D2
B201402988B2,B201805990B1,B201805990B1
B201402988A4,B201805990C,B201805990C
B201409040A,B201805990A,B201805990A
B201409040B1,B201805990B2,B201805990B2
B201409040B2,B201806212A1,B201806212A1
B201409040C,B201806212A2,B201806212A2
B201409040B3,B201806212B2,B201806212B2
B201415605A1,B201806212B1,B201806212B1
B201415605A2,B201806398A2,B201806398A2
B201415605B1,B201806398A1,B201806398A1
B201420727C,B201806398D2,B201806398D2
B201421302C1,B201806398D1,B201806398D1
B201421302C2,B201806398B,B201806398B
